text,label,source,split,context,topic,masked_text,original_label
"company's slogan ""Expect More. Pay Less.""",other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,"company 's slogan "" Expect More . Pay Less . """,appeal to emotion
"The bigger a child's shoe size, the better the child's handwriting",other_fallacy,causalNLP_logic_edu,train,statement that jumps to a conclusion implying a causal relationship without supporting evidence,education_examples,"The bigger MSK<0> shoe size , the better MSK<0> handwriting",false causality
"Since many people believe this, then it must be true",other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,"Since many people believe this , then it must be true",ad populum
Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,MSK<0> is n't MSK<1> when MSK<0> says MSK<0> MSK<2> about MSK<0> constituents — MSK<0> would n't MSK<1> to people MSK<0> MSK<2> about .,circular reasoning
"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",other_fallacy,causalNLP_logic_edu,train,introducing premises or conclusions that have nothing to do with the subject matter.,education_examples,"MSK<0> is MSK<1> MSK<2> that MSK<0> went over MSK<0> data for the month , and MSK<2> begins MSK<1> MSK<0> about getting an A on a math test .",fallacy of relevance
A mother tells her children not to leave the yard because there might be wild animals in the woods.,other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,MSK<0> tells MSK<0> children not to leave the yard because there might be wild animals in the woods .,appeal to emotion
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"If MSK<0> MSK<1> MSK<2> because MSK<2> are bad for the environment , eventually the government will MSK<1> all cars , so MSK<0> should not MSK<1> MSK<2> .",faulty generalization
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,other_fallacy,causalNLP_logic_edu,train,statement that jumps to a conclusion implying a causal relationship without supporting evidence,education_examples,very time MSK<0> goes MSK<1> MSK<0> is MSK<2> MSK<0> MSK<3> . Something about MSK<2> that MSK<3> must make MSK<0> want to go MSK<1> .,false causality
"""You were late tonight. You must be cheating!""",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,""" MSK<0> were late tonight . MSK<0> must be cheating ! """,faulty generalization
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",other_fallacy,causalNLP_logic_edu,train,statement that jumps to a conclusion implying a causal relationship without supporting evidence,education_examples,"Every time MSK<0> go to MSK<1> , MSK<2> goes down . Therefore , MSK<0> MSK<1> causes MSK<2> to set .",false causality
"Makes people feel as though everyone is doing it, so they should too.",other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,"Makes MSK<0> feel as though everyone is doing it , so MSK<0> should too .",ad populum
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,You oppose MSK<0> proposal to extend government - funded health care to poor minority children because MSK<0> is a liberal Democrat .,ad hominem
"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",other_fallacy,causalNLP_logic_edu,train,introducing premises or conclusions that have nothing to do with the subject matter.,education_examples,MSK<0> : This fish tastes funny . I do n’t want to MSK<1> this . Parent : There are MSK<0> starving in Africa . MSK<1> your dinner .,fallacy of relevance
"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,MSK<0> : MSK<0> think MSK<1> should hire someone to redesign MSK<1> website . MSK<2> : MSK<2> 're saying MSK<1> should throw MSK<1> money away on external resources instead of building up MSK<1> in - house design team ? That 's going to hurt MSK<1> company in the long run .,fallacy of extension
"""Beware of appeals made only to your feelings and not to your logic.""",other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,""" Beware of appeals made only to MSK<0> feelings and not to MSK<0> logic . """,appeal to emotion
